PENTAD,INDEX_4,INDEX_8,INDEX_9
19841224,-0.77,0.86,0.41
19841229,-1.23,0.9,1.31
19850103,-0.32,-0.01,0.41
19850108,-0.03,-0.27,0.21
19850113,0.71,-1.19,-0.22
19850118,0.94,-1.2,-0.58
19850123,2.03,-2.26,-1.5
19850128,1.26,-0.87,-1.44
19850202,1.54,-0.75,-2.09
19850207,0.61,0.68,-1.84
19850212,-0.99,2.13,-0.26
19850217,-2.35,2.79,1.54
19850222,-1.77,1.56,1.76
19850227,-0.44,0.33,0.36
19850304,-1.58,1.7,1.12
19850309,0.06,-0.47,0.31
19850314,1.84,-1.53,-2.04
19850319,1.07,-0.67,-1.5
19850324,0.2,-0.02,-0.5
19850329,0.74,-0.56,-0.88
19850403,0.83,-0.3,-1.31
19850408,-0.18,0.72,-0.45
19850413,-0.76,1.33,0.07
19850418,-1.22,1.34,0.81
19850423,-0.02,-0.18,0.21
19850428,0.47,-0.66,-0.26
19850503,0.56,-0.68,-0.52
19850508,0.79,-0.79,-0.65
19850513,0.63,-0.18,-1.05
19850518,0.37,0.31,-1.1
19850523,-0.09,0.68,-0.66
19850528,-1.77,1.93,1.31
19850602,-1.25,1.02,1.4
19850607,-0.32,0.41,0.24
19850612,-1.26,1.7,0.53
19850617,-1.46,1.85,0.72
19850622,-1.82,1.83,1.45
19850627,-1.02,0.36,1.52
19850702,-0.35,0.19,0.5
19850707,-0.2,0.26,0.02
19850712,-0.24,0.31,0.12
19850717,0.63,-0.56,-0.51
19850722,1.09,-1.12,-0.85
19850727,-0.18,0.22,0.12
19850801,-0.35,0.21,0.4
19850806,-0.17,0.11,0.12
19850811,0.04,0.29,-0.47
19850816,-0.31,0.4,0.16
19850821,-0.28,0.25,0.33
19850826,-0.52,0.59,0.3
19850831,-0.96,1.25,0.43
19850905,-0.27,0.39,0.02
19850910,-0.31,0.57,-0.07
19850915,-0.41,0.66,0.08
19850920,-0.06,0.2,-0.13
19850925,0.28,-0.27,-0.21
19850930,0.24,-0.03,-0.45
19851005,0.02,0.38,-0.36
19851010,-0.58,0.88,0.2
19851015,-1.32,1.15,1.22
19851020,-0.83,0.31,1.2
19851025,1.32,-1.77,-0.62
19851030,2.77,-2.81,-2.26
19851104,1.86,-0.96,-2.54
19851109,-0.94,1.47,0.22
19851114,-1.88,1.72,1.73
19851119,-0.77,0.22,1.11
19851124,0.47,-0.66,-0.31
19851129,0.57,-0.5,-0.62
19851204,0.07,0.06,-0.2
19851209,-0.35,0.18,0.45
19851214,-0.55,0.47,0.4
19851219,0.51,-0.62,-0.37
19851224,0.54,-0.78,-0.2
19851229,1.27,-1.18,-1.13
19860103,0.73,0,-1.4
19860108,0.33,0.83,-1.43
19860113,-1.97,2.25,1.33
19860118,-1.29,1.08,1.22
19860123,-1.11,0.48,1.5
19860128,-0.41,-0.15,0.89
19860202,0.45,-0.67,-0.21
19860207,0.89,-0.78,-0.99
19860212,0.23,-0.03,-0.44
19860217,0.45,-0.41,-0.4
19860222,0.92,-1.08,-0.71
19860227,1.34,-1.34,-1.1
19860304,0.99,-0.59,-1.22
19860309,1.61,-0.99,-1.92
19860314,0.56,0.27,-1.3
19860319,-1.06,1.88,-0.03
19860324,-1.51,1.82,0.92
19860329,-1.51,1.46,1.31
19860403,-0.81,0.47,0.98
19860408,-0.52,0.52,0.44
19860413,-1.02,0.69,1.11
19860418,0.22,-0.44,0.04
19860423,0.49,-0.17,-0.89
19860428,-0.17,0.86,-0.51
19860503,-0.85,1.14,0.42
19860508,-1.13,1.12,0.96
19860513,-1.39,0.94,1.52
19860518,-1.37,0.93,1.56
19860523,-0.07,-0.86,1.13
19860528,1.7,-2,-1.02
19860602,1.31,-1.28,-1.19
19860607,0.16,0.13,-0.51
19860612,-0.07,0.6,-0.5
19860617,-1.27,1.5,0.8
19860622,-2.22,1.95,2.19
19860627,-0.61,-0.07,1.31
19860702,0.06,-0.56,0.53
19860707,0.47,-0.28,-0.59
19860712,-1.05,1.42,0.46
19860717,-1.06,0.82,1.22
19860722,-0.4,0.15,0.63
19860727,-0.08,0.07,0.03
19860801,-0.79,0.89,0.52
19860806,-0.74,0.44,0.95
19860811,-0.86,0.37,1.31
19860816,-0.7,0.19,1.12
19860821,-0.25,-0.19,0.71
19860826,0.3,-0.69,0.14
19860831,-0.16,-0.01,0.29
19860905,-0.71,0.97,0.31
19860910,-1.3,1.31,1.07
19860915,-1.48,1.11,1.57
19860920,-0.83,0.28,1.31
19860925,1.02,-1.33,-0.48
19860930,0.76,-0.7,-0.65
19861005,-0.2,0.02,0.36
19861010,-0.03,-0.22,0.22
19861015,-0.46,0.26,0.51
19861020,-0.14,0.04,0.24
19861025,0.63,-0.47,-0.71
19861030,-0.58,0.95,0.08
19861104,-2.01,2.16,1.52
19861109,-2.57,2.26,2.39
19861114,-1.97,1.26,2.32
19861119,-0.23,-0.4,0.84
19861124,0.85,-1.07,-0.47
19861129,0.65,-0.46,-0.76
19861204,-0.69,0.57,0.75
19861209,-0.33,0.51,0.17
19861214,-0.43,0.53,0.28
19861219,-0.19,0.01,0.38
19861224,0.41,-0.55,-0.11
19861229,0.62,-0.69,-0.44
19870103,-0.12,0.34,-0.04
19870108,-0.3,0.54,0.07
19870113,-0.94,0.94,0.73
19870118,-0.35,0.36,0.28
19870123,-0.09,0.31,-0.18
19870128,-1.03,0.97,0.87
19870202,-1.36,0.79,1.65
19870207,-0.69,-0.06,1.3
19870212,-0.19,-0.27,0.6
19870217,-0.66,0.47,0.71
19870222,-1.88,1.5,1.91
19870227,-1.57,0.74,2.18
19870304,0.72,-1.22,-0.01
19870309,1.77,-1.6,-1.57
19870314,0.95,-0.45,-1.33
19870319,-0.96,1.11,0.62
19870324,0.07,-0.49,0.38
19870329,1.09,-1.13,-0.83
19870403,0.69,-0.62,-0.6
19870408,-0.57,0.16,0.9
19870413,-0.92,0.07,1.64
19870418,0.04,-0.53,0.57
19870423,0.57,-0.89,0.08
19870428,1.23,-1.43,-0.7
19870503,0.58,-0.52,-0.52
19870508,-0.21,0.11,0.23
19870513,-0.19,-0.2,0.57
19870518,1.34,-1.97,-0.5
19870523,1.67,-1.54,-1.49
19870528,0.55,-0.04,-1.12
19870602,-0.07,0.6,-0.46
19870607,-1.19,1.2,0.96
19870612,-1.17,1.04,1.13
19870617,-0.18,-0.09,0.43
19870622,0.1,-0.31,0.11
19870627,-0.28,-0.05,0.49
19870702,-0.99,0.59,1.35
19870707,0.23,-0.57,0.2
19870712,-0.4,0.08,0.64
19870717,-0.51,-0.15,1.13
19870722,0.77,-1.3,-0.03
19870727,1.3,-1.91,-0.37
19870801,1.92,-2.23,-1.2
19870806,2.07,-1.83,-1.93
19870811,1.15,-0.72,-1.43
19870816,0.34,0.12,-0.73
19870821,-0.72,0.9,0.37
19870826,-1.51,1.52,1.19
19870831,-1.92,1.3,2.21
19870905,-0.26,-0.04,0.49
19870910,-0.22,0.06,0.38
19870915,0.16,-0.2,-0.1
19870920,1.28,-1.18,-1.13
19870925,1.23,-0.95,-1.24
19870930,-0.12,0.14,0.04
19871005,0.03,-0.02,-0.11
19871010,0.44,-0.22,-0.54
19871015,0.05,0.11,-0.24
19871020,-0.37,0.47,0.21
19871025,0.27,-0.35,-0.07
19871030,1.68,-1.42,-1.62
19871104,0.08,0.61,-0.78
19871109,-1.02,1.48,0.35
19871114,-2.03,1.88,1.84
19871119,-1.28,0.87,1.43
19871124,-0.75,0.41,0.95
19871129,0.47,-0.54,-0.28
19871204,0.49,-0.09,-0.77
19871209,-0.73,1.28,0.08
19871214,-1.45,1.61,0.99
19871219,-2.06,2.02,1.74
19871224,-1.91,1.27,2.17
19871229,-0.52,-0.07,0.94
19880103,0.19,-0.41,0.03
19880108,-0.41,0.17,0.54
19880113,0.27,-0.28,-0.23
19880118,0.83,-0.28,-1.13
19880123,0.32,0.42,-1.08
19880128,-0.4,1.1,-0.36
19880202,-1.02,1.18,0.67
19880207,-1.14,1.17,0.88
19880212,-1.39,1.2,1.27
19880217,-0.79,0.57,0.75
19880222,0.91,-1.35,-0.47
19880227,2.3,-2.31,-1.93
19880304,1.92,-1.54,-2.22
19880309,1.07,-0.6,-1.47
19880314,1.12,-0.32,-1.76
19880319,-0.37,1.65,-1.06
19880324,-3.17,4.2,1.69
19880329,-2.96,2.56,2.88
19880403,-0.77,-0.03,1.42
19880408,1.12,-1.4,-0.74
19880413,2.09,-2.03,-1.78
19880418,1.53,-1.23,-1.66
19880423,0.84,-0.41,-1.23
19880428,1,-0.34,-1.52
19880503,-0.36,1.03,-0.43
19880508,-0.67,1.04,0.19
19880513,0.53,0.14,-1.11
19880518,-0.66,1.27,-0.14
19880523,-1.56,1.25,1.69
19880528,0.43,-0.79,0.09
19880602,0.73,-0.43,-1.02
19880607,-0.02,0.31,-0.42
19880612,-0.36,0.26,0.44
19880617,1.08,-0.97,-1.02
19880622,1.68,-1.28,-1.82
19880627,1.52,-1.16,-1.59
19880702,1.36,-0.8,-1.73
19880707,0.72,-0.23,-1.18
19880712,0.94,-0.31,-1.5
19880717,0.24,0.57,-1.16
19880722,-0.54,0.79,0.17
19880727,0.43,-0.14,-0.73
19880801,0.73,-0.06,-1.39
19880806,0.65,-0.08,-1.21
19880811,0.91,-0.46,-1.24
19880816,1.47,-0.64,-2.15
19880821,1.23,-0.61,-1.71
19880826,2.08,-1.53,-2.34
19880831,1.96,-1.25,-2.33
19880905,1.19,-0.71,-1.52
19880910,1.14,-0.42,-1.71
19880915,0.15,0.44,-0.69
19880920,-0.45,1.27,-0.53
19880925,-1.09,1.72,0.2
19880930,-1.14,1.57,0.46
19881005,-1.67,1.56,1.43
19881010,0.06,-0.09,0
19881015,-0.29,0.4,0.1
19881020,-0.62,0.59,0.49
19881025,-0.24,0.09,0.29
19881030,-0.54,0.52,0.39
19881104,-0.2,0.4,-0.11
19881109,-0.67,0.63,0.6
19881114,0.43,-0.4,-0.38
19881119,0.16,0.18,-0.49
19881124,-0.36,0.67,-0.11
19881129,0.16,-0.36,-0.01
19881204,1.34,-1.33,-1.22
19881209,0.22,-0.13,-0.34
19881214,-0.38,0.04,0.57
19881219,-0.24,0.13,0.17
19881224,-0.12,-0.02,0.21
19881229,0.89,-0.7,-0.94
19890103,0.42,-0.06,-0.7
19890108,0.98,-0.5,-1.24
19890113,0.56,0.38,-1.4
19890118,-0.45,1.57,-0.67
19890123,-0.86,1.57,0.1
19890128,-1.11,1.17,0.84
19890202,-0.07,-0.06,0.17
19890207,0.49,-0.31,-0.62
19890212,0.2,-0.19,-0.16
19890217,1.11,-0.94,-1.12
19890222,0.79,0.06,-1.48
19890227,0.05,0.6,-0.63
19890304,-0.09,0.39,-0.23
19890309,-0.1,0.45,-0.33
19890314,0.5,-0.38,-0.57
19890319,0.77,-0.58,-0.89
19890324,1.15,-0.98,-1.18
19890329,1.05,-0.54,-1.39
19890403,-0.22,0.85,-0.53
19890408,-0.51,0.96,-0.01
19890413,-1.18,1.29,0.84
19890418,-1.1,1.12,0.67
19890423,-1.27,1.05,1.25
19890428,-0.13,-0.26,0.52
19890503,1.12,-1.03,-1.09
19890508,0.84,-0.5,-1.1
19890513,-0.26,0.77,-0.32
19890518,-1.63,2.01,0.93
19890523,-1.03,0.89,1.03
19890528,-0.34,0.19,0.35
19890602,0.21,-0.14,-0.18
19890607,-0.21,0.38,-0.1
19890612,0,0.13,-0.03
19890617,0.11,-0.26,0.12
19890622,0.89,-1.04,-0.52
19890627,1.11,-0.94,-1.21
19890702,0.51,-0.02,-1.01
19890707,0.28,0.21,-0.78
19890712,0.27,0.24,-0.81
19890717,-0.89,0.9,0.75
19890722,-0.07,-0.31,0.59
19890727,0.37,-0.8,0.19
19890801,0.33,-0.28,-0.4
19890806,-0.25,0.34,0.05
19890811,0.15,-0.17,-0.01
19890816,0.4,-0.55,-0.12
19890821,0.73,-0.8,-0.54
19890826,0.42,-0.13,-0.67
19890831,0.32,-0.1,-0.47
19890905,0.13,-0.2,-0.06
19890910,0.17,-0.24,-0.09
19890915,0.49,-0.68,-0.22
19890920,1.39,-1.04,-1.42
19890925,0.69,-0.32,-0.86
19890930,0.43,-0.07,-0.74
19891005,0.1,0.23,-0.5
19891010,-0.08,0.52,-0.38
19891015,-0.96,1.24,0.47
19891020,-1.04,1.15,0.73
19891025,-1.42,1.26,1.32
19891030,0.3,-0.51,-0.03
19891104,0.85,-0.9,-0.64
19891109,1.44,-1.42,-1.22
19891114,0.55,-0.48,-0.63
